approxAnzahl,areaRatio,circleLike,contureDistance,conturenAnzahl,farPoint,keyPointsAnzahl,mean_val,middlepointDistance,minimal_ratio,minimal_ratio2,momentpointDistance,rectangleLike,seradity,seradity2,solidity,solidity2,steiner,type
19,0.08802046795691826,0.2391068518239614,1.060317125924605,2,8698,424,233.55314987367908,22.596414746411504,2.645312418201499,1.2142857142857142,63.15853069855251,0.6030923127165058,0.8697401613405497,0.9400153071386468,0.830855209773826,0.914273467638234,7.0710678118654755,Flaschenoeffner
31,0.012750805506736965,0.41443316068649105,1.332241185821083,5,80852,484,250.61238499393767,-26.87878404737503,1.031700288184438,1.7727272727272727,-53.0,0.888842426992853,0.4053330379199468,0.956597441535069,0.5006209187764922,0.9606896551724138,48.82622246293481,Korkenzieher
15,0.15725150799895096,0.4445786392319108,1.5203042517000225,2,4299,306,217.57215967246674,2.634748765877451,3.7380633513708608,1.1864408081479358,14.866068747318506,1.348876558773111,0.9307855637014442,0.9605336075916491,0.8293096698420984,0.9689722042663219,8.54400374531753,Flaschenoeffner
18,0.09609331860850359,0.3132779296374342,1.0008399912462005,2,19239,435,231.74867111898595,7.726023299682748,2.376068391023314,1.149818361553719,31.240998703626616,0.8596776320507786,0.8292248141542765,0.7854475346070711,0.810490277249435,0.8344521697434668,25.612496949731394,Flaschenoeffner
20,0.06666450504198956,0.34800876649038937,1.3287998022171983,3,38144,425,226.42421191719626,-3.8506532741583257,2.3372657466718336,2.0384615384615383,10.04987562112089,0.8395048601138061,0.6399578266843916,0.9670475212394808,0.6398016762094432,0.967984934086629,20.396078054371138,Korkenzieher
24,0.23282068521164243,0.38142267437722915,0.9656380609563012,5,15867,453,169.7535415458537,8.870601898423319,2.6305457111431867,3.1789147865969034,37.8549864614954,1.1138317770940669,0.804424983403801,0.7680707175638255,0.6617479399742323,0.5189509834530128,17.4928556845359,Flaschenoeffner
14,0.12223242526272829,0.2779892438164333,1.052626882065694,3,3665,330,212.095528820255,16.694589648243266,3.052532005800221,2.0166666666666666,51.419840528729765,0.7690250818302409,0.9456322096838536,0.9566526303821934,0.9220228078060814,0.9880865102639296,2.23606797749979,Flaschenoeffner
28,0.05732690438527949,0.26527795718483715,1.0725002279651672,5,28104,448,224.16819921933646,26.94827112484797,1.935323383084577,2.1477156090163874,53.0,0.6187568106014578,0.6505938633465805,0.8965519160135884,0.7377760280088019,0.8533333333333334,6.082762530298219,Korkenzieher
15,0.0393040603042768,0.40810220031903066,1.1803737668613727,2,54532,379,245.72065292891875,2.226515608248335,3.1758447080586567,1.8311991437359478,-4.949747468305833,1.1982913566524376,0.6313149537236336,0.9436262110677867,0.7747282070048641,0.8863737239236573,17.029386365926403,Flaschenoeffner
24,0.1467737174567566,0.34304038198166215,1.0651426793081706,2,14863,416,218.82239607659972,10.810199197931404,2.3710951821181454,1.294753716689234,33.95585369269929,0.9442730864121138,0.8850870504160292,0.9135649198958958,0.7643401198469425,0.8828208223847738,17.08800749063506,Flaschenoeffner
27,0.18791892295841525,0.08900510745028245,1.3737041208012988,17,18090,500,150.51084222690503,43.69189813909923,1.1259180214231261,2.5,54.70831746635972,0.88392223432908,0.6360135251561183,0.9328930820712453,0.6987219138356241,0.9732642610456115,9.433981132056603,Korkenzieher
28,0.09129054931947432,0.41786024580522846,1.105768220726768,6,17166,452,197.12531841149203,11.92257012796687,2.103562582461884,2.9679326435243403,35.35533905932738,1.1777053885519693,0.7626840760649257,0.9312602984005452,0.5815413962245454,0.9082432718796355,14.142135623730951,Flaschenoeffner
